Item,Qty,Reference(s),Value,Mouser
1,13,"C1, C14, C30, C38, C39, C42, C43, C44, C45, C46, C55, C87, C88",10uF 16V,667-ECA-1CM100I
2,2,"C2, C13",47uF 16V,667-ECA-1CM470I
3,7,"C3, C7, C12, C15, C17, C18, C40",100uF 16V,667-ECA-1CM101I
4,2,"C4, C11",470uF 16V,667-ECA-1CM471B
5,31,"C5, C6, C8, C9, C10, C16, C19, C33, C34, C47, C48, C50, C53, C56, C69, C70, C71, C72, C73, C74, C75, C76, C77, C80, C81, C82, C83, C84, C85, C86, C89",0.1u,581-SA105E104M
6,10,"C20, C21, C22, C23, C24, C25, C26, C27, C28, C29",0.01u,810-FG28X7R1H103KNT0
7,7,"C31, C36, C37, C49, C54, C63, C78",1000p,810-FG28X7R1H102KNT6
8,5,"C32, C35, C52, C64, C79",330p,810-FG28C0G1H331JNT6
9,2,"C41, C59",47p,810-FG28C0G1H470JNT6
10,3,"C51, C58, C60",2200p,810-FG28X7R1H222KNT6
11,1,C57,4700p,810-FG28C0G1H472JNT6
12,2,"C61, C62",30p,810-FG28C0G1H270JNT6
13,2,"C65, C68",270p,810-FG28C0G1H271JNT0
14,1,C66,680p,810-FG28C0G1H681JNT6
15,1,C67,470p,810-FG28C0G1H471JNT6
16,2,"D1, D2",1N4148,512-1N4148
17,1,DRQ1,DMA ENABLE JUMPER,-
18,1,IO1,I/O ADDX,-
19,4,"IRQ2, IRQ3, IRQ5, IRQ7",Conn_02x01,-
20,1,JP1,JOYSTICK EN,-
21,3,"L1, L2, L3",BEAD,623-2743004111
22,1,MIC1,Microphone,490-MJ-3536N
23,1,P1,Joystick/MIDI,636-182-015-213R531
24,1,P2,L7809,511-L7809CV
25,2,"R1, R2",270,603-CFR-25JB-52-270R
26,9,"R3, R4, R8, R23, R24, R34, R36, R37, R40",10K,603-CFR-25JB-52-10K
27,3,"R5, R9, R12",470K,603-CFR-25JR-52470K
28,3,"R6, R7, R11",68K,603-CFR-25JB-52-68K
29,1,R10,39K,603-CFR-25JB-52-39K
30,1,R13,39.0K 1%,603-MFR-25FBF52-39K
31,1,R14,100.0K 1%,603-MFR-25FBF52-100K
32,2,"R15, R16",470,603-CFR-25JB-52-470R
33,1,R17,33K,603-CFR-25JB-52-33K
34,1,R18,1.5K 1%,603-MFR-25FBF52-1K5
35,3,"R19, R20, R21",390,603-CFR-25JB-52-390R
36,3,"R22, R25, R27",27K,603-CFR-25JB-52-27K
37,6,"R26, R39, R41, R42, R44, R_BODGE1",4.7K,603-CFR-25JB-52-4K7
38,2,"R28, R31",15K,603-CFR-25JB-52-15K
39,2,"R29, R30",47K,603-CFR-25JB-52-47K
40,2,"R32, R33",1.5K,603-CFR-25JB-52-1K5
41,1,R35,2.2K,603-CFR-25JB-52-2K2
42,1,R38,2.70K 1%,603-MFR-25FBF52-2K7
43,1,R43,1K,603-CFR-25JR-521K
44,1,RP1,2.2K,652-4608X-AP2-222LF
45,2,"RP2, RP3",1K,652-4605X-AP1-102LF
46,2,"RXD1, TXD1",Conn_01x03,-
47,1,S1,OUT,490-SJ1-3553NG
48,1,S2,ALPS_RK08H_DUAL,688-RK08H12100F3
49,2,"T1, T2",2N3904,833-2N3904-AP
50,1,U1,NE558,-
51,1,U2,74LS245,595-SN74LS245N
52,1,U3,74LS244,595-SN74LS244N
53,1,U4,TEA2025B,-
54,1,U5,LM324,595-LM324AN
55,1,U6,LM393,595-LM393P
56,2,"U7, U8",74LS138,595-SN74LS138NE4
57,1,U9,YM3812,-
58,1,U10,YM3014B,-
59,1,U11,NJM3403A,513-NJM3403AD
60,1,U12,MC1408_DIP,926-DAC0808LCN/NOPB
61,1,U13,805X,556-A89S51-24PU
62,2,"U14, U15",SAA1099,-
63,3,"U16, U25, U28",74LS08,595-SN74LS08N
64,1,U17,74LS139,595-SN74LS139AN
65,2,"U18, U19",74LS374,595-SN74LS374N
66,4,"U20, U22, U23, U26",74LS74,595-SN74LS74AN
67,1,U21,74LS125,595-SN74LS125AN
68,3,"U24, U27, U30",74LS32,595-SN74LS32N
69,1,U29,74LS14,595-SN74LS14N
70,1,XTL1,12MHz,815-AB-12-B2
71,3,"ZD1, ZD2, ZD3",5.1V Zener,78-1N5231B-TAP
72,1,-,Bracket Mount,534-9200
